price,unformattedPrice,address,addressStreet,addressCity,addressState,addressZipcode,beds,baths,area,latitude,longitude,isZillowOwned,variableData,badgeInfo,pgapt,sgapt,zestimate,info3String,brokerName
299900,299900,"5903 Wagon Bnd, Austin, TX 78744",5903 Wagon Bnd,Austin,TX,78744,3,2,1204,30.194813,-97.75984,FALSE,"{'type': 'DAYS_ON', 'text': '12 days on Zillow'}",,ForSale,For Sale (Broker),295553,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,Keeping It Realty
275000,275000,"4703 Yucca Hill Dr, Austin, TX 78744",4703 Yucca Hill Dr,Austin,TX,78744,3,2,1282,30.178377,-97.75394,FALSE,"{'type': 'PRICE_REDUCTION', 'text': '$15,000 (Oct 14)'}",,ForSale,For Sale (Broker),270600,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,Bramlett Residential
465000,465000,"9709 Point Vista Pl, Austin, TX 78753",9709 Point Vista Pl,Austin,TX,78753,,0,2160,30.357817,-97.67774,FALSE,"{'type': 'PRICE_REDUCTION', 'text': '$5,000 (Oct 17)'}",,ForSale,For Sale (Broker),460500,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,Austin City Living
429000,429000,"4413 Dovemeadow Dr, Austin, TX 78744",4413 Dovemeadow Dr,Austin,TX,78744,3,2,1623,30.189259,-97.751595,FALSE,"{'type': 'PRICE_REDUCTION', 'text': '$20,000 (Oct 31)'}",,ForSale,For Sale (Broker),424500,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,Teifke Real Estate
359900,359900,"8006 Bramble Bush Dr, Austin, TX 78747",8006 Bramble Bush Dr,Austin,TX,78747,3,3,1736,30.15768,-97.73964,FALSE,"{'type': 'DAYS_ON', 'text': '5 days on Zillow'}",,ForSale,For Sale (Broker),355400,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,"Joseph Walter Realty, LLC"
430000,430000,"8900 Parker Ranch Cir UNIT A, Austin, TX 78748",8900 Parker Ranch Cir UNIT A,Austin,TX,78748,3,2,1559,30.190289,-97.83243,FALSE,"{'type': 'DAYS_ON', 'text': '12 days on Zillow'}",,ForSale,For Sale (Broker),425473,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,Keller Williams Realty
499900,499900,"377 Limestone Trl, Austin, TX 78737",377 Limestone Trl,Austin,TX,78737,3,3,2299,30.21248,-97.979614,FALSE,"{'type': 'OPEN_HOUSE', 'text': 'Open: Sat. 1-3pm'}",,ForSale,For Sale (Broker),495300,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,Keller Williams Realty
310000,310000,"14207 Levering St, Austin, TX 78725",14207 Levering St,Austin,TX,78725,4,2,1587,30.243668,-97.58593,FALSE,"{'type': 'PRICE_REDUCTION', 'text': '$10,000 (Oct 24)'}",,ForSale,For Sale (Broker),305400,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,Fathom Realty
279500,279500,"14605 Thunderhead Rd, Austin, TX 78734",14605 Thunderhead Rd,Austin,TX,78734,3,2,1175,30.372517,-97.93202,FALSE,"{'type': 'DAYS_ON', 'text': '15 days on Zillow'}",,ForSale,For Sale (Broker),274889,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,Suman Casey Realty
485000,485000,"8322 Empress Blvd, Austin, TX 78745",8322 Empress Blvd,Austin,TX,78745,3,3,1333,30.189907,-97.81825,FALSE,"{'type': 'DAYS_ON', 'text': '12 days on Zillow'}",,ForSale,For Sale (Broker),480174,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,Spyglass Realty
370000,370000,"6812 Sunderland Trl, Austin, TX 78747",6812 Sunderland Trl,Austin,TX,78747,3,2,1352,30.147697,-97.74322,FALSE,"{'type': 'OPEN_HOUSE', 'text': 'Open: Thu. 9am-7pm'}",,ForSale,For Sale (Broker),365124,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,"Opendoor Brokerage, LLC"
570000,570000,"11206 Kingsgate Dr, Austin, TX 78748",11206 Kingsgate Dr,Austin,TX,78748,4,3,3482,30.1589,-97.84011,FALSE,"{'type': 'OPEN_HOUSE', 'text': 'Open: Thu. 9am-7pm'}",,ForSale,For Sale (Broker),564981,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,"Opendoor Brokerage, LLC"
450000,450000,"1225 Anise Dr, Austin, TX 78741",1225 Anise Dr,Austin,TX,78741,4,3,2088,30.22449,-97.6915,FALSE,"{'type': 'DAYS_ON', 'text': '13 days on Zillow'}",,ForSale,For Sale (Broker),444943,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,Bella Via Realty
679000,679000,"6044 Bel Fay Ln, Austin, TX 78749",6044 Bel Fay Ln,Austin,TX,78749,4,2,2240,30.228006,-97.86439,FALSE,"{'type': '3D_HOME', 'text': '3D Tour'}",,ForSale,For Sale (Broker),673900,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,Realty Austin
215000,215000,"2529 Rio Grande St APT 64, Austin, TX 78705",2529 Rio Grande St APT 64,Austin,TX,78705,0,1,393,30.290071,-97.74406,FALSE,"{'type': 'DAYS_ON', 'text': '25 days on Zillow'}",,ForSale,For Sale (Broker),209856,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,Campus Condos
384000,384000,"7101 Siepel Dr, Austin, TX 78724",7101 Siepel Dr,Austin,TX,78724,3,2,1430,30.302065,-97.63921,FALSE,"{'type': 'OPEN_HOUSE', 'text': 'Open: Thu. 9am-7pm'}",,ForSale,For Sale (Broker),378779,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,"Opendoor Brokerage, LLC"
425000,425000,"11603 Elk Park Trl, Austin, TX 78759",11603 Elk Park Trl,Austin,TX,78759,3,2,1732,30.412865,-97.74166,FALSE,"{'type': '3D_HOME', 'text': '3D Tour'}",,ForSale,For Sale (Broker),419742,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,Keller Williams Realty
399999,399999,"10005 Dorset Dr, Austin, TX 78753",10005 Dorset Dr,Austin,TX,78753,3,2,1479,30.360504,-97.675,FALSE,"{'type': 'DAYS_ON', 'text': '17 days on Zillow'}",,ForSale,For Sale (Broker),394700,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,Keller Williams Realty
410000,410000,"1600 Catalan Rd #401, Austin, TX 78748",1600 Catalan Rd #401,Austin,TX,78748,3,3,1918,30.15078,-97.836205,FALSE,"{'type': 'PRICE_REDUCTION', 'text': '$9,000 (Nov 10)'}",,ForSale,For Sale (Broker),404500,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,Keller Williams - Lake Travis
645900,645900,"3105 Sasparilla Cv, Austin, TX 78748",3105 Sasparilla Cv,Austin,TX,78748,4,3,2686,30.16687,-97.85136,FALSE,"{'type': 'PRICE_REDUCTION', 'text': '$13,100 (Oct 31)'}",,ForSale,For Sale (Broker),640400,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,Central Metro Realty
329905,329905,"1409 Brighton Ln, Austin, TX 78753",1409 Brighton Ln,Austin,TX,78753,3,2,1273,30.353626,-97.67541,FALSE,"{'type': 'DAYS_ON', 'text': '20 days on Zillow'}",,ForSale,For Sale (Broker),324400,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,Real Estate Executives of Aus
475000,475000,"1806 Loreto Dr #A, Austin, TX 78721",1806 Loreto Dr #A,Austin,TX,78721,3,1,1026,30.281776,-97.70101,FALSE,"{'type': 'PRICE_REDUCTION', 'text': '$50,000 (Oct 27)'}",,ForSale,For Sale (Broker),469400,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,West Austin Properties
299750,299750,"400 W 35th St APT 201, Austin, TX 78705",400 W 35th St APT 201,Austin,TX,78705,2,2,852,30.301851,-97.736946,FALSE,"{'type': 'PRICE_REDUCTION', 'text': '$15,250 (Oct 14)'}",,ForSale,For Sale (Broker),294100,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,ListingSpark
365000,365000,"13017 Brahmin Dr, Austin, TX 78724",13017 Brahmin Dr,Austin,TX,78724,3,2,1464,30.260345,-97.588936,FALSE,"{'type': 'TIME_ON_INFO', 'text': '10 hours ago', 'data': {'isFresh': False}}",,ForSale,For Sale (Broker),359200,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,Varela Properties
299000,299000,"3018 S 1st St APT 203, Austin, TX 78704",3018 S 1st St APT 203,Austin,TX,78704,1,1,573,30.234886,-97.764206,FALSE,"{'type': 'PRICE_REDUCTION', 'text': '$10,900 (Nov 11)'}",,ForSale,For Sale (Broker),293117,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,"Compass RE Texas, LLC"
299000,299000,"11970 Jollyville Rd APT 104, Austin, TX 78759",11970 Jollyville Rd APT 104,Austin,TX,78759,2,2,1069,30.427027,-97.75934,FALSE,"{'type': 'PRICE_REDUCTION', 'text': '$13,000 (Nov 2)'}",,ForSale,For Sale (Broker),293109,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,The Groove Realty
410000,410000,"7306 Cave Holw, Austin, TX 78750",7306 Cave Holw,Austin,TX,78750,2,3,1300,30.37464,-97.78993,FALSE,"{'type': 'PRICE_REDUCTION', 'text': '$64,500 (Nov 2)'}",,ForSale,For Sale (Broker),404100,,Teifke Real Estate
350000,350000,"4401 E Stassney Ln, Austin, TX 78744",4401 E Stassney Ln,Austin,TX,78744,3,2,1096,30.193527,-97.746956,FALSE,"{'type': '3D_HOME', 'text': '3D Tour'}",,ForSale,For Sale (Broker),343400,,Keller Williams Realty Lone St
340000,340000,"6718 Silvermine Dr UNIT 1702, Austin, TX 78736",6718 Silvermine Dr UNIT 1702,Austin,TX,78736,2,2,1072,30.245983,-97.889626,FALSE,"{'type': 'DAYS_ON', 'text': '13 days on Zillow'}",,ForSale,For Sale (Broker),333100,https://photos.zillowstatic.com/fp/5659d432ec384d3999cabe0d0e0e8ce0-zillow_web_48_23.jpg,"Hayes Heritage Realty, LLC"
569900,569900,"11719 Bell Ave #B, Austin, TX 78759",11719 Bell Ave #B,Austin,TX,78759,3,3,1832,30.41951,-97.75088,FALSE,"{'type': 'DAYS_ON', 'text': '25 days on Zillow'}",,ForSale,For Sale (Broker),562849,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,RE/MAX Posh Properties
246777,246777,"2124 Burton Dr APT 163, Austin, TX 78741",2124 Burton Dr APT 163,Austin,TX,78741,2,2,850,30.232576,-97.73261,FALSE,"{'type': 'DAYS_ON', 'text': '5 days on Zillow'}",,ForSale,For Sale (Broker),239589,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,"eXp Realty, LLC"
599000,599000,"1607 Sylvan Dr, Austin, TX 78741",1607 Sylvan Dr,Austin,TX,78741,3,1,1340,30.240452,-97.73496,FALSE,"{'type': 'DAYS_ON', 'text': '18 days on Zillow'}",,ForSale,For Sale (Broker),591804,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,Keller Williams Realty
335000,335000,"1800 E 4th St UNIT 312, Austin, TX 78702",1800 E 4th St UNIT 312,Austin,TX,78702,1,1,518,30.260199,-97.72396,FALSE,"{'type': 'PRICE_REDUCTION', 'text': '$15,000 (Oct 6)'}",,ForSale,For Sale (Broker),327676,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,Keller Williams Realty
375000,375000,"5935 Cherry Loop, Austin, TX 78745",5935 Cherry Loop,Austin,TX,78745,4,2,1436,30.207096,-97.788994,FALSE,"{'type': 'PRICE_REDUCTION', 'text': '$50,000 (Aug 24)'}",,ForSale,For Sale (Broker),367528,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,"Keller Williams, LLC"
395000,395000,"3305 Savage Springs Dr, Austin, TX 78754",3305 Savage Springs Dr,Austin,TX,78754,5,3,1870,30.361452,-97.638435,FALSE,"{'type': 'OPEN_HOUSE', 'text': 'Open: Thu. 9am-7pm'}",,ForSale,For Sale (Broker),387403,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,"Opendoor Brokerage, LLC"
575000,575000,"11012 Hattery Ln, Austin, TX 78717",11012 Hattery Ln,Austin,TX,78717,3,3,2274,30.497957,-97.78793,FALSE,"{'type': 'PRICE_REDUCTION', 'text': '$6,000 (Nov 13)'}",,ForSale,For Sale (Broker),567400,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,VIP Realty
348000,348000,"8416 Shallot Way, Austin, TX 78748",8416 Shallot Way,Austin,TX,78748,3,2,1114,30.176043,-97.78908,FALSE,"{'type': 'PRICE_REDUCTION', 'text': '$37,000 (Nov 11)'}",,ForSale,For Sale (Broker),340100,,
599900,599900,"7313 Shadywood Dr, Austin, TX 78745",7313 Shadywood Dr,Austin,TX,78745,4,2,1412,30.187986,-97.78751,FALSE,"{'type': 'PRICE_REDUCTION', 'text': '$39,100 (Oct 13)'}",,ForSale,For Sale (Broker),591892,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,Dash Realty
339900,339900,"5528 Liberton Ln, Austin, TX 78754",5528 Liberton Ln,Austin,TX,78754,3,2,1341,30.373348,-97.614655,FALSE,"{'type': 'PRICE_REDUCTION', 'text': '$10,100 (Nov 8)'}",,ForSale,For Sale (Broker),331817,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,RE/MAX Posh Properties
371000,371000,"3004 Tilmon Ln, Austin, TX 78725",3004 Tilmon Ln,Austin,TX,78725,4,3,2189,30.227886,-97.589,FALSE,"{'type': 'OPEN_HOUSE', 'text': 'Open: Thu. 9am-7pm'}",,ForSale,For Sale (Broker),362755,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,"Opendoor Brokerage, LLC"
639900,639900,"8913 Sendera Mesa Dr, Austin, TX 78749",8913 Sendera Mesa Dr,Austin,TX,78749,4,3,2656,30.201813,-97.85993,FALSE,"{'type': '3D_HOME', 'text': '3D Tour'}",,ForSale,For Sale (Broker),631600,https://photos.zillowstatic.com/fp/98ab7c7b2895c2f5f278917766712625-zillow_web_48_23.jpg,"Compass RE Texas, LLC"
